kanji	grade	sentence	target	reading	difficulty
週	2	週末に出かける。	週末	しゅうまつ	2
週	2	一週間が早い。	一週	いっしゅう	1
春	2	春が来る。	春	はる	1
春	2	青春ドラマ。	青春	せいしゅん	2
書	2	手紙を書く。	書く	かく	1
書	2	書店へ行く。	書店	しょてん	2
少	2	少し休む。	少し	すこし	1
少	2	多少の差。	多少	たしょう	2
場	2	場所を変える。	場所	ばしょ	2
場	2	広場で遊ぶ。	広場	ひろば	1
色	2	色をぬる。	色	いろ	1
色	2	特色を出す。	特色	とくしょく	2
食	2	朝食をとる。	朝食	ちょうしょく	2
食	2	食べ物を買う。	食べ物	たべもの	1
心	2	心が落ち着く。	心	こころ	1
心	2	安心する。	安心	あんしん	2
新	2	新しい本。	新しい	あたらしい	1
新	2	新聞を読む。	新聞	しんぶん	2
親	2	親子で遊ぶ。	親子	おやこ	2
親	2	親友に会う。	親友	しんゆう	2
図	2	地図を見る。	地図	ちず	2
図	2	図画をかく。	図画	ずが	2
数	2	数を数える。	数	かず	1
数	2	数字を書く。	数字	すうじ	2
西	2	西の空。	西	にし	1
西	2	関西に行く。	関西	かんさい	2
声	2	声を出す。	声	こえ	1
声	2	音声を録る。	音声	おんせい	2
星	2	星が光る。	星	ほし	1
星	2	星座を調べる。	星座	せいざ	2
晴	2	晴れた空。	晴れ	はれ	1
晴	2	快晴の朝。	快晴	かいせい	2
切	2	紙を切る。	切る	きる	1
切	2	親切な人。	親切	しんせつ	2
雪	2	雪がふる。	雪	ゆき	1
雪	2	大雪で休校。	大雪	おおゆき	2
船	2	船に乗る。	船	ふね	1
船	2	汽船で旅行。	汽船	きせん	2
線	2	線を引く。	線	せん	1
線	2	曲線をかく。	曲線	きょくせん	2
前	2	前を見る。	前	まえ	1
前	2	午前中に終える。	午前	ごぜん	1
組	2	赤組が勝つ。	赤組	あかぐみ	2
組	2	組立てをする。	組立て	くみたてて	2
走	2	速く走る。	走る	はしる	1
走	2	競走に出る।	競走	きょうそう	2
多	2	多くの人。	多い	おおい	1
多	2	多少の雨。	多少	たしょう	2
太	2	太い木。	太い	ふとい	1
太	2	太陽が昇る。	太陽	たいよう	2
体	2	体を動かす。	体	からだ	1
体	2	体育の時間。	体育	たいいく	2
台	2	台に乗る。	台	だい	1
台	2	台風が来る。	台風	たいふう	2
地	2	地下に入る。	地下	ちか	2
地	2	地図を見る。	地図	ちず	2
池	2	池で魚を見る。	池	いけ	1
池	2	電池を買う。	電池	でんち	2
知	2	知識を得る。	知識	ちしき	2
知	2	知人に会う。	知人	ちじん	2
茶	2	お茶を飲む。	お茶	おちゃ	1
茶	2	紅茶を入れる。	紅茶	こうちゃ	2
昼	2	昼休みに遊ぶ。	昼休み	ひるやすみ	1
昼	2	昼食を食べる。	昼食	ちゅうしょく	2
長	2	長い川。	長い	ながい	1
長	2	学長の話。	学長	がくちょう	2
鳥	2	鳥が飛ぶ。	鳥	とり	1
鳥	2	白鳥を見る。	白鳥	しらとり	2
朝	2	朝日がのぼる。	朝日	あさひ	1
朝	2	早朝に散歩。	早朝	そうちょう	2
直	2	直線を引く。	直線	ちょくせん	2
直	2	正直に話す。	正直	しょうじき	2
通	2	道を通る。	通る	とおる	1
通	2	交通ルールを守る。	交通	こうつう	2
弟	2	弟と遊ぶ。	弟	おとうと	1
弟	2	兄弟と姉弟。	姉弟	きょうだい	2
店	2	店で買う。	店	みせ	1
店	2	書店に行く。	書店	しょてん	2
点	2	点をうつ。	点	てん	1
点	2	満点を取る。	満点	まんてん	2
電	2	電話をかける。	電話	でんわ	2
電	2	電車に乗る。	電車	でんしゃ	2
刀	2	刀をさやにおさめる。	刀	かたな	2
刀	2	竹刀でけいこ。	竹刀	しない	2
冬	2	冬休みに雪遊び。	冬休み	ふゆやすみ	1
冬	2	真冬の朝。	真冬	まふゆ	2
当	2	当たり前のこと。	当たり前	あたりまえ	2
当	2	担当の先生。	担当	たんとう	2
東	2	東の空。	東	ひがし	1
東	2	関東に住む。	関東	かんとう	2
答	2	答えを書く。	答え	こたえ	1
答	2	回答用紙。	回答	かいとう	2
頭	2	頭が痛い。	頭	あたま	1
頭	2	先頭に立つ。	先頭	せんとう	2
同	2	同じ色。	同じ	おなじ	1
同	2	友同士で話す。	同士	どうし	2
道	2	道を歩く。	道	みち	1
道	2	道路工事。	道路	どうろ	2
読	2	本を読む。	読む	よむ	1
読	2	読書感想文。	読書	どくしょ	2
内	2	家の内。	内	うち	1
内	2	以内に出す。	以内	いない	2
南	2	南の島。	南	みなみ	1
南	2	東南アジア。	東南	とうなん	2
肉	2	肉をやく。	肉	にく	1
肉	2	牛肉を買う。	牛肉	ぎゅうにく	2
馬	2	馬が走る。	馬	うま	1
馬	2	競馬場を見る。	競馬	けいば	2
売	2	売店で買う。	売店	ばいてん	2
売	2	売上が伸びる。	売上	うりあげ	2
買	2	買い物に行く。	買い物	かいもの	1
買	2	購入手続き。	購入	こうにゅう	2
麦	2	麦を育てる。	麦	むぎ	1
麦	2	小麦粉を使う。	小麦粉	こむぎこ	2
半	2	半分になる。	半分	はんぶん	1
半	2	前半が終わる。	前半	ぜんはん	2
番	2	番号を書く。	番号	ばんごう	2
番	2	番犬がほえる。	番犬	ばんけん	2
父	2	父と遊ぶ。	父	ちち	1
父	2	祖父母に会う。	祖父母	そふぼ	2
風	2	風がふく。	風	かぜ	1
風	2	台風が近づく。	台風		2
分	2	分け合う。	分け	わけ	1
分	2	十分休む。	十分	じっぷん	1
聞	2	音を聞く。	聞く	きく	1
聞	2	新聞を聞く。	新聞	しんぶん	2
米	2	米をとぐ。	米	こめ	1
米	2	米国を調べる。	米国	べいこく	2
歩	2	歩いて帰る。	歩く	あるく	1
歩	2	散歩をする。	散歩	さんぽ	2
母	2	母と話す。	母	はは	1
母	2	祖母の家。	祖母	そぼ	2
方	2	方角を知る。	方角	ほうがく	2
方	2	夕方の方がすずしい。	夕方	ゆうがた'	1
北	2	北風が強い。	北風	きたかぜ	2
北	2	北海道に行く。	北海道	ほっかいどう	2
毎	2	毎日勉強。	毎日	まいにち	1
毎	2	毎週会う。	毎週	まいしゅう	2
妹	2	妹と遊ぶ。	妹	いもうと	1
妹	2	姉妹げんか。	姉妹	しまい	2
万	2	一万円札。	一万	いちまん	2
万	2	万年筆で書く。	万年筆	まんねんぴつ	2
明	2	明るい部屋。	明るい	あかるい	1
明	2	説明を聞く。	説明	せつめい	2
鳴	2	鳥が鳴く。	鳴く	なく	1
鳴	2	鳴門海峡。	鳴門	なると	2
毛	2	犬の毛をとかす。	毛	け	1
毛	2	毛布でねる。	毛布	もうふ	2
門	2	門を開ける。	門	もん	1
門	2	専門を学ぶ。	専門	せんもんｎ	2
夜	2	夜空を見る。	夜空	よぞら	1
夜	2	夜食を食べる。	夜食	やしょく	2
野	2	野原を走る。	野原	のはら	2
野	2	野球をする。	野球	やきゅう	2
友	2	友だちと話す。	友だち	ともだち	1
友	2	友情を大切に。	友情	ゆうじょう	2
用	2	用事がある。	用事	ようじ	2
用	2	利用する。	利用	りよう	2
曜	2	月曜日に会おう。	月曜	げつよう	1
曜	2	火曜日の予定。	火曜	かよう	1
来	2	春が来る。	来る	くる	1
来	2	来年度の計画。	来年度	らいねんど	2
里	2	里山に行く。	里山	りざん	2
里	2	千里の道。	千里	せんり	2
理	2	理由を考える。	理由	りゆう	2
理	2	料理を学ぶ。	料理	りょうり	2
話	2	話を聞く。	話	はなし	1
話	2	会話を楽しむ。	会話	かいわ	2
