kanji	grade	sentence	target	reading	difficulty
幸	3	国語のテストで幸せの読みを書きました。	幸せ	しあわせ	1
幸	3	インターネットで幸福を調べてまとめました。	幸福	こうふく	3
港	3	ドリルの問題に港が出てきました。	港	みなと	2
港	3	授業で空港の仕組みを学びました。	空港	くうこう	3
号	3	漫画に号車と書いてあって読めました。	号車	ごうしゃ	3
号	3	図書館で信号についての本を借りました。	信号	しんごう	3
根	3	今日の授業で根という言葉を習いました。	根	ね	2
根	3	図書館で根本についての本を借りました。	根本	こんぽん	4
祭	3	ドリルの問題に祭りが出てきました。	祭り	まつり	2
祭	3	兄が文化祭のことを詳しく説明してくれました。	文化祭	ぶんかさい	3
皿	3	家で皿を声に出して練習しました。	皿	さら	1
皿	3	ぼくは将来灰皿にかかわる仕事がしたいです。	灰皿	はいざら	3
仕	3	先生が黒板に仕事と書いて説明しました。	仕事	しごと	2
仕	3	父が仕組みの仕事をしています。	仕組み	しくみ	3
死	3	家で死ぬを声に出して練習しました。	死ぬ	しぬ	3
死	3	ぼくは将来死亡にかかわる仕事がしたいです。	死亡	しぼう	4
使	3	漫画に使うと書いてあって読めました。	使う	つかう	2
使	3	授業で使用の仕組みを学びました。	使用	しよう	3
始	3	友だちが始めると言っていて意味を調べました。	始める	はじめる	2
始	3	授業で開始の仕組みを学びました。	開始	かいし	3
指	3	今日の授業で指という言葉を習いました。	指	ゆび	2
指	3	図書館で指示についての本を借りました。	指示	しじ	3
歯	3	歯と同じ漢字を使う言葉を探しました。	歯	は	1
歯	3	社会科見学で歯医者を実際に見学しました。	歯医者	はいしゃ	2
詩	3	国語のテストで詩の読みを書きました。	詩	し	3
詩	3	図書館で詩人についての本を借りました。	詩人	しじん	4
次	3	友だちが次と言っていて意味を調べました。	次	つぎ	1
次	3	父が次回の仕事をしています。	次回	じかい	3
事	3	ドリルの問題に事件が出てきました。	事件	じけん	3
事	3	ニュースで事情が重要だと言っていました。	事情	じじょう	4
持	3	今日の授業で持つという言葉を習いました。	持つ	もつ	1
持	3	社会科見学で所持を実際に見学しました。	所持	しょじ	3
式	3	式と同じ漢字を使う言葉を探しました。	式	しき	3
式	3	兄が公式のことを詳しく説明してくれました。	公式	こうしき	4
実	3	実と同じ漢字を使う言葉を探しました。	実	み	2
実	3	図書館で実験についての本を借りました。	実験	じっけん	4
写	3	友だちが写すと言っていて意味を調べました。	写す	うつす	3
写	3	授業で写真の仕組みを学びました。	写真	しゃしん	2
者	3	作文で医者を使ったら先生にほめられました。	医者	いしゃ	3
者	3	インターネットで記者を調べてまとめました。	記者	きしゃ	3
主	3	ドリルの問題に主人が出てきました。	主人	しゅじん	2
主	3	自由研究のテーマを主役に決めました。	主役	しゅやく	4
守	3	ドリルの問題に守るが出てきました。	守る	まもる	2
守	3	授業で保守の仕組みを学びました。	保守	ほしゅ	4
取	3	取ると同じ漢字を使う言葉を探しました。	取る	とる	1
取	3	新聞で取得のニュースを読みました。	取得	しゅとく	4
酒	3	作文で酒を使ったら先生にほめられました。	酒	さけ	2
酒	3	自由研究のテーマを日本酒に決めました。	日本酒	にほんしゅ	4
受	3	漫画に受けると書いてあって読めました。	受ける	うける	2
受	3	新聞で受験のニュースを読みました。	受験	じゅけん	3
州	3	先生が黒板に州と書いて説明しました。	州	しゅう	3
州	3	自由研究のテーマを九州に決めました。	九州	きゅうしゅう	2
拾	3	友だちが拾うと言っていて意味を調べました。	拾う	ひろう	2
拾	3	インターネットで拾得を調べてまとめました。	拾得	しゅうとく	4
終	3	今日の授業で終わるという言葉を習いました。	終わる	おわる	2
終	3	インターネットで終了を調べてまとめました。	終了	しゅうりょう	3
習	3	作文で習うを使ったら先生にほめられました。	習う	ならう	1
習	3	図書館で練習についての本を借りました。	練習	れんしゅう	2
集	3	先生が黒板に集まると書いて説明しました。	集まる	あつまる	2
集	3	ニュースで集合が重要だと言っていました。	集合	しゅうごう	3
住	3	先生が黒板に住むと書いて説明しました。	住む	すむ	1
住	3	授業で住所の仕組みを学びました。	住所	じゅうしょ	3
重	3	ドリルの問題に重いが出てきました。	重い	おもい	2
重	3	兄が重量のことを詳しく説明してくれました。	重量	じゅうりょう	4
宿	3	漫画に宿題と書いてあって読めました。	宿題	しゅくだい	2
宿	3	授業で宿泊の仕組みを学びました。	宿泊	しゅくはく	4
所	3	ドリルの問題に場所が出てきました。	場所	ばしょ	2
所	3	社会科見学で住所を実際に見学しました。	住所	じゅうしょ	3
暑	3	暑いと同じ漢字を使う言葉を探しました。	暑い	あつい	1
暑	3	ぼくは将来猛暑にかかわる仕事がしたいです。	猛暑	もうしょ	3
助	3	家で助けるを声に出して練習しました。	助ける	たすける	2
助	3	インターネットで援助を調べてまとめました。	援助	えんじょ	3
昭	3	昭和と同じ漢字を使う言葉を探しました。	昭和	しょうわ	3
昭	3	インターネットで昭和時代を調べてまとめました。	昭和時代	しょうわじだい	4
消	3	友だちが消すと言っていて意味を調べました。	消す	けす	2
消	3	父が消防の仕事をしています。	消防	しょうぼう	3
商	3	国語のテストで商店の読みを書きました。	商店	しょうてん	2
商	3	ニュースで商業が重要だと言っていました。	商業	しょうぎょう	3
章	3	文章と同じ漢字を使う言葉を探しました。	文章	ぶんしょう	3
章	3	ニュースで章が重要だと言っていました。	章	しょう	4
勝	3	先生が黒板に勝つと書いて説明しました。	勝つ	かつ	2
勝	3	インターネットで優勝を調べてまとめました。	優勝	ゆうしょう	3
乗	3	日記に乗るという語を使ってみました。	乗る	のる	1
乗	3	図書館で乗車についての本を借りました。	乗車	じょうしゃ	3
植	3	国語のテストで植えるの読みを書きました。	植える	うえる	2
植	3	新聞で植物のニュースを読みました。	植物	しょくぶつ	3
申	3	作文で申し込むを使ったら先生にほめられました。	申し込む	もうしこむ	3
申	3	授業で申請の仕組みを学びました。	申請	しんせい	4
身	3	日記に身という語を使ってみました。	身	み	2
身	3	ぼくは将来身長にかかわる仕事がしたいです。	身長	しんちょう	3
神	3	日記に神社という語を使ってみました。	神社	じんじゃ	2
神	3	新聞で神話のニュースを読みました。	神話	しんわ	4
真	3	先生が黒板に真ん中と書いて説明しました。	真ん中	まんなか	1
真	3	新聞で真実のニュースを読みました。	真実	しんじつ	4
深	3	日記に深いという語を使ってみました。	深い	ふかい	2
深	3	図書館で深夜についての本を借りました。	深夜	しんや	4
進	3	今日の授業で進むという言葉を習いました。	進む	すすむ	2
進	3	自由研究のテーマを前進に決めました。	前進	ぜんしん	4
世	3	先生が黒板に世の中と書いて説明しました。	世の中	よのなか	2
世	3	授業で世界の仕組みを学びました。	世界	せかい	2
整	3	日記に整えるという語を使ってみました。	整える	ととのえる	3
整	3	社会科見学で整理を実際に見学しました。	整理	せいり	3
昔	3	漫画に昔と書いてあって読めました。	昔	むかし	1
昔	3	インターネットで昔話を調べてまとめました。	昔話	むかしばなし	2
全	3	全部と同じ漢字を使う言葉を探しました。	全部	ぜんぶ	1
全	3	兄が全校のことを詳しく説明してくれました。	全校	ぜんこう	3
相	3	作文で相談を使ったら先生にほめられました。	相談	そうだん	3
相	3	ぼくは将来相手にかかわる仕事がしたいです。	相手	あいて	2
送	3	漫画に送ると書いてあって読めました。	送る	おくる	2
送	3	インターネットで配送を調べてまとめました。	配送	はいそう	3
想	3	漫画に想像と書いてあって読めました。	想像	そうぞう	3
想	3	父が理想の仕事をしています。	理想	りそう	3
息	3	日記に息という語を使ってみました。	息	いき	1
息	3	図書館で休息についての本を借りました。	休息	きゅうそく	3
速	3	先生が黒板に速いと書いて説明しました。	速い	はやい	1
速	3	父が速度の仕事をしています。	速度	そくど	3
族	3	国語のテストで家族の読みを書きました。	家族	かぞく	1
族	3	父が民族の仕事をしています。	民族	みんぞく	3
他	3	家で他のを声に出して練習しました。	他の	ほかの	1
他	3	ニュースで他人が重要だと言っていました。	他人	たにん	3
打	3	今日の授業で打つという言葉を習いました。	打つ	うつ	2
打	3	図書館で打球についての本を借りました。	打球	だきゅう	4
対	3	今日の授業で対するという言葉を習いました。	対する	たいする	3
対	3	父が対策の仕事をしています。	対策	たいさく	3
待	3	国語のテストで待つの読みを書きました。	待つ	まつ	1
待	3	図書館で待機についての本を借りました。	待機	たいき	4
代	3	日記に代わりという語を使ってみました。	代わり	かわり	2
代	3	インターネットで時代を調べてまとめました。	時代	じだい	3
第	3	日記に第一という語を使ってみました。	第一	だいいち	3
第	3	授業で次第の仕組みを学びました。	次第	しだい	4
題	3	漫画に問題と書いてあって読めました。	問題	もんだい	3
題	3	兄が課題のことを詳しく説明してくれました。	課題	かだい	3
炭	3	家で炭を声に出して練習しました。	炭	すみ	2
炭	3	兄が石炭のことを詳しく説明してくれました。	石炭	せきたん	4
短	3	友だちが短いと言っていて意味を調べました。	短い	みじかい	2
短	3	ニュースで短所が重要だと言っていました。	短所	たんしょ	3
談	3	日記に会談という語を使ってみました。	会談	かいだん	3
談	3	図書館で相談についての本を借りました。	相談	そうだん	3
着	3	漫画に着ると書いてあって読めました。	着る	きる	1
着	3	授業で到着の仕組みを学びました。	到着	とうちゃく	3
注	3	先生が黒板に注意と書いて説明しました。	注意	ちゅうい	2
注	3	新聞で注射のニュースを読みました。	注射	ちゅうしゃ	4
柱	3	柱と同じ漢字を使う言葉を探しました。	柱	はしら	2
柱	3	新聞で電柱のニュースを読みました。	電柱	でんちゅう	4
丁	3	先生が黒板に丁寧と書いて説明しました。	丁寧	ていねい	3
丁	3	インターネットで丁目を調べてまとめました。	丁目	ちょうめ	3
帳	3	ドリルの問題に帳面が出てきました。	帳面	ちょうめん	3
帳	3	父が手帳の仕事をしています。	手帳	てちょう	3
調	3	漫画に調べると書いてあって読めました。	調べる	しらべる	2
調	3	ニュースで調査が重要だと言っていました。	調査	ちょうさ	3
追	3	日記に追いかけるという語を使ってみました。	追いかける	おいかける	2
追	3	父が追加の仕事をしています。	追加	ついか	3
定	3	今日の授業で予定という言葉を習いました。	予定	よてい	2
定	3	兄が定期のことを詳しく説明してくれました。	定期	ていき	3
庭	3	家で庭を声に出して練習しました。	庭	にわ	1
庭	3	新聞で家庭のニュースを読みました。	家庭	かてい	2
笛	3	家で笛を声に出して練習しました。	笛	ふえ	2
笛	3	社会科見学で警笛を実際に見学しました。	警笛	けいてき	4
鉄	3	漫画に鉄道と書いてあって読めました。	鉄道	てつどう	2
鉄	3	社会科見学で鉄橋を実際に見学しました。	鉄橋	てっきょう	4
転	3	家で転ぶを声に出して練習しました。	転ぶ	ころぶ	2
転	3	授業で運転の仕組みを学びました。	運転	うんてん	3
都	3	漫画に東京都と書いてあって読めました。	東京都	とうきょうと	3
都	3	兄が首都のことを詳しく説明してくれました。	首都	しゅと	3
度	3	日記に度という語を使ってみました。	度	たび	2
度	3	社会科見学で温度を実際に見学しました。	温度	おんど	3
投	3	日記に投げるという語を使ってみました。	投げる	なげる	2
投	3	新聞で投球のニュースを読みました。	投球	とうきゅう	4
豆	3	作文で豆を使ったら先生にほめられました。	豆	まめ	1
豆	3	授業で納豆の仕組みを学びました。	納豆	なっとう	3
島	3	今日の授業で島という言葉を習いました。	島	しま	2
島	3	自由研究のテーマを列島に決めました。	列島	れっとう	4
湯	3	今日の授業でお湯という言葉を習いました。	お湯	おゆ	1
湯	3	新聞で熱湯のニュースを読みました。	熱湯	ねっとう	4
登	3	作文で登るを使ったら先生にほめられました。	登る	のぼる	2
登	3	ニュースで登校が重要だと言っていました。	登校	とうこう	3
等	3	等しいと同じ漢字を使う言葉を探しました。	等しい	ひとしい	3
等	3	授業で等身大の仕組みを学びました。	等身大	とうしんだい	4
動	3	ドリルの問題に動くが出てきました。	動く	うごく	1
動	3	新聞で運動のニュースを読みました。	運動	うんどう	2
童	3	童話と同じ漢字を使う言葉を探しました。	童話	どうわ	2
童	3	図書館で児童についての本を借りました。	児童	じどう	2
農	3	ドリルの問題に農業が出てきました。	農業	のうぎょう	3
農	3	図書館で農家についての本を借りました。	農家	のうか	2
波	3	作文で波を使ったら先生にほめられました。	波	なみ	2
波	3	図書館で電波についての本を借りました。	電波	でんぱ	4
配	3	日記に配るという語を使ってみました。	配る	くばる	2
配	3	父が配達の仕事をしています。	配達	はいたつ	3
倍	3	先生が黒板に倍と書いて説明しました。	倍	ばい	3
倍	3	ぼくは将来倍率にかかわる仕事がしたいです。	倍率	ばいりつ	4
箱	3	日記に箱という語を使ってみました。	箱	はこ	1
箱	3	ぼくは将来郵便箱にかかわる仕事がしたいです。	郵便箱	ゆうびんばこ	4
畑	3	作文で畑を使ったら先生にほめられました。	畑	はたけ	1
畑	3	新聞で花畑のニュースを読みました。	花畑	はなばたけ	3
発	3	作文で発表を使ったら先生にほめられました。	発表	はっぴょう	3
発	3	図書館で発電についての本を借りました。	発電	はつでん	4
反	3	家で反対を声に出して練習しました。	反対	はんたい	3
反	3	ぼくは将来反省にかかわる仕事がしたいです。	反省	はんせい	4
坂	3	作文で坂を使ったら先生にほめられました。	坂	さか	2
坂	3	授業で坂道の仕組みを学びました。	坂道	さかみち	2
板	3	国語のテストで板の読みを書きました。	板	いた	2
板	3	社会科見学で黒板を実際に見学しました。	黒板	こくばん	3
皮	3	日記に皮という語を使ってみました。	皮	かわ	2
皮	3	自由研究のテーマを毛皮に決めました。	毛皮	けがわ	4
悲	3	日記に悲しいという語を使ってみました。	悲しい	かなしい	2
悲	3	社会科見学で悲劇を実際に見学しました。	悲劇	ひげき	4
美	3	家で美しいを声に出して練習しました。	美しい	うつくしい	2
美	3	兄が美術のことを詳しく説明してくれました。	美術	びじゅつ	3
鼻	3	友だちが鼻と言っていて意味を調べました。	鼻	はな	1
鼻	3	ニュースで鼻水が重要だと言っていました。	鼻水	はなみず	2
筆	3	国語のテストで筆の読みを書きました。	筆	ふで	2
筆	3	図書館で鉛筆についての本を借りました。	鉛筆	えんぴつ	1
氷	3	今日の授業で氷という言葉を習いました。	氷	こおり	2
氷	3	ニュースで氷山が重要だと言っていました。	氷山	ひょうざん	4
表	3	作文で表を使ったら先生にほめられました。	表	おもて	2
表	3	ぼくは将来発表にかかわる仕事がしたいです。	発表	はっぴょう	3
秒	3	先生が黒板に秒と書いて説明しました。	秒	びょう	3
秒	3	図書館で秒速についての本を借りました。	秒速	びょうそく	4
病	3	病気と同じ漢字を使う言葉を探しました。	病気	びょうき	2
病	3	インターネットで病院を調べてまとめました。	病院	びょういん	2
品	3	商品と同じ漢字を使う言葉を探しました。	商品	しょうひん	3
品	3	社会科見学で作品を実際に見学しました。	作品	さくひん	3
負	3	ドリルの問題に負けるが出てきました。	負ける	まける	2
負	3	自由研究のテーマを負担に決めました。	負担	ふたん	4
部	3	先生が黒板に部屋と書いて説明しました。	部屋	へや	1
部	3	インターネットで部活を調べてまとめました。	部活	ぶかつ	2
服	3	国語のテストで服の読みを書きました。	服	ふく	1
服	3	社会科見学で和服を実際に見学しました。	和服	わふく	3
福	3	ドリルの問題に幸福が出てきました。	幸福	こうふく	3
福	3	ニュースで福袋が重要だと言っていました。	福袋	ふくぶくろ	2
物	3	物と同じ漢字を使う言葉を探しました。	物	もの	1
物	3	社会科見学で動物を実際に見学しました。	動物	どうぶつ	2
平	3	作文で平和を使ったら先生にほめられました。	平和	へいわ	2
平	3	授業で水平の仕組みを学びました。	水平	すいへい	3
返	3	今日の授業で返すという言葉を習いました。	返す	かえす	2
返	3	授業で返事の仕組みを学びました。	返事	へんじ	2
勉	3	友だちが勉強と言っていて意味を調べました。	勉強	べんきょう	2
勉	3	図書館で勤勉についての本を借りました。	勤勉	きんべん	4
放	3	ドリルの問題に放つが出てきました。	放つ	はなつ	3
放	3	社会科見学で放送を実際に見学しました。	放送	ほうそう	3
味	3	先生が黒板に味と書いて説明しました。	味	あじ	1
味	3	図書館で意味についての本を借りました。	意味	いみ	3
命	3	命と同じ漢字を使う言葉を探しました。	命	いのち	2
命	3	兄が生命のことを詳しく説明してくれました。	生命	せいめい	3
面	3	友だちが面白いと言っていて意味を調べました。	面白い	おもしろい	2
面	3	社会科見学で面接を実際に見学しました。	面接	めんせつ	4
問	3	作文で質問を使ったら先生にほめられました。	質問	しつもん	3
問	3	インターネットで問題を調べてまとめました。	問題	もんだい	3
役	3	国語のテストで役目の読みを書きました。	役目	やくめ	3
役	3	インターネットで役所を調べてまとめました。	役所	やくしょ	3
薬	3	友だちが薬と言っていて意味を調べました。	薬	くすり	1
薬	3	授業で薬局の仕組みを学びました。	薬局	やっきょく	3
由	3	漫画に理由と書いてあって読めました。	理由	りゆう	3
由	3	社会科見学で自由を実際に見学しました。	自由	じゆう	2
油	3	今日の授業で油という言葉を習いました。	油	あぶら	1
油	3	図書館で石油についての本を借りました。	石油	せきゆ	3
有	3	家で有るを声に出して練習しました。	有る	ある	1
有	3	社会科見学で有名を実際に見学しました。	有名	ゆうめい	2
遊	3	今日の授業で遊ぶという言葉を習いました。	遊ぶ	あそぶ	1
遊	3	新聞で遊園地のニュースを読みました。	遊園地	ゆうえんち	3
予	3	国語のテストで予定の読みを書きました。	予定	よてい	2
予	3	兄が予報のことを詳しく説明してくれました。	予報	よほう	3
羊	3	友だちが羊と言っていて意味を調べました。	羊	ひつじ	1
羊	3	兄が羊毛のことを詳しく説明してくれました。	羊毛	ようもう	4
洋	3	漫画に洋服と書いてあって読めました。	洋服	ようふく	2
洋	3	授業で西洋の仕組みを学びました。	西洋	せいよう	3
葉	3	家で葉っぱを声に出して練習しました。	葉っぱ	はっぱ	1
葉	3	授業で落葉の仕組みを学びました。	落葉	らくよう	4
陽	3	今日の授業で太陽という言葉を習いました。	太陽	たいよう	2
陽	3	図書館で陽気についての本を借りました。	陽気	ようき	3
様	3	先生が黒板に様子と書いて説明しました。	様子	ようす	2
様	3	兄が王様のことを詳しく説明してくれました。	王様	おうさま	1
落	3	落ちると同じ漢字を使う言葉を探しました。	落ちる	おちる	2
落	3	新聞で落下のニュースを読みました。	落下	らっか	4
流	3	国語のテストで流れるの読みを書きました。	流れる	ながれる	2
流	3	ぼくは将来流行にかかわる仕事がしたいです。	流行	りゅうこう	3
旅	3	旅と同じ漢字を使う言葉を探しました。	旅	たび	2
旅	3	兄が旅行のことを詳しく説明してくれました。	旅行	りょこう	2
両	3	家で両手を声に出して練習しました。	両手	りょうて	2
両	3	兄が両親のことを詳しく説明してくれました。	両親	りょうしん	2
緑	3	今日の授業で緑という言葉を習いました。	緑	みどり	1
緑	3	社会科見学で緑茶を実際に見学しました。	緑茶	りょくちゃ	3
礼	3	国語のテストで礼の読みを書きました。	礼	れい	2
礼	3	新聞で礼儀のニュースを読みました。	礼儀	れいぎ	4
列	3	国語のテストで列の読みを書きました。	列	れつ	2
列	3	インターネットで行列を調べてまとめました。	行列	ぎょうれつ	3
練	3	日記に練習という語を使ってみました。	練習	れんしゅう	2
練	3	図書館で訓練についての本を借りました。	訓練	くんれん	4
路	3	国語のテストで道路の読みを書きました。	道路	どうろ	2
路	3	授業で路線の仕組みを学びました。	路線	ろせん	3
和	3	家で和菓子を声に出して練習しました。	和菓子	わがし	2
和	3	ぼくは将来平和にかかわる仕事がしたいです。	平和	へいわ	2
